ID,Participant_Answer,Global_time,Question_appearance,Answer_time
d1,A,739.0269064903259,738.0099158287048,739.0269064903259
e2,D,759.8530931472778,758.8356087207794,759.8530931472778
a5,C,780.6957931518555,779.6782758235931,780.6957931518555
b2,B,806.1228308677673,805.1065926551819,806.1228308677673
c3,C,831.3834614753723,830.3671782016754,831.3834614753723
c2,A,841.4550325870514,840.4383046627045,841.4550325870514
c7,C,864.1316113471985,863.1148121356964,864.1316113471985
d3,C,886.5256550312042,885.509034872055,886.5256550312042
e1,A,910.0185821056366,909.0019545555115,910.0185821056366
d2,A,926.7755482196808,925.7585620880127,926.7755482196808
e3,A,942.8337132930756,941.8160712718964,942.8337132930756
